FECHA (YYMMDD);HORA (HHMM);;
200101;0100;52,4383;
200101;0200;58,2467;
200101;0300;61,9592;
200101;0400;63,6742;
200101;0500;67,6276;
200101;0600;67,1158;
200101;0700;60,7425;
200101;0800;51,7125;
200101;0900;44,6583;
200101;1000;39,8942;
200101;1100;34,6375;
200101;1200;31,6692;
200101;1300;26,48;
200101;1400;24,975;
200101;1500;27,3675;
200101;1600;31,0158;
200101;1700;33,1308;
200101;1800;36,8592;
200101;1900;44,2717;
200101;2000;57,5025;
200101;2100;65,2075;
200101;2200;68,0009;
200101;2300;70,6333;
200102;0000;72,6167;
200102;0100;77,4758;
200102;0200;81,1333;
200102;0300;82,7167;
200102;0400;85,8083;
200102;0500;87,425;
200102;0600;84,3717;
200102;0700;75,1658;
200102;0800;66,1292;
200102;0900;56,6933;
200102;1000;50,6033;
200102;1100;43,5592;
200102;1200;37,5417;
200102;1300;33,4992;
200102;1400;30,3892;
200102;1500;25,5458;
200102;1600;28,8025;
200102;1700;34,2592;
200102;1800;36,9358;
200102;1900;43,24;
200102;2000;47,2383;
200102;2100;48,84;
200102;2200;52,37;
200102;2300;58,2092;
200103;0000;63,1183;
200103;0100;66,7942;
200103;0200;71,4893;
200103;0300;75,2533;
200103;0400;77,46;
200103;0500;79,9417;
200103;0600;77,7633;
200103;0700;68,77;
200103;0800;59,7683;
200103;0900;49,8917;
200103;1000;44,9125;
200103;1100;41,3558;
200103;1200;36,08;
200103;1300;33,6408;
200103;1400;32,8292;
200103;1500;30,3917;
200103;1600;28,2467;
200103;1700;24,2467;
200103;1800;24,11;
200103;1900;32,89;
200103;2000;38,8075;
200103;2100;43,0675;
200103;2200;42,7608;
200103;2300;39,24;
200104;0000;42,1767;
200104;0100;47,0767;
200104;0200;49,5525;
200104;0300;55,5458;
200104;0400;62,2083;
200104;0500;69,72;
200104;0600;74,5708;
200104;0700;73,0009;
200104;0800;70,375;
200104;0900;65,7017;
200104;1000;59,9325;
200104;1100;54,6583;
200104;1200;49,2108;
200104;1300;45,0458;
200104;1400;40,2258;
200104;1500;36,72;
200104;1600;34,2233;
200104;1700;28,3542;
200104;1800;24,6942;
200104;1900;24,49;
200104;2000;27,2367;
200104;2100;32,8508;
200104;2200;37,6317;
200104;2300;29,8058;
200105;0000;31,12;
200105;0100;38,6825;
200105;0200;46,6167;
200105;0300;51,5833;
200105;0400;55,0367;
200105;0500;57,7667;
200105;0600;57,7525;
200105;0700;55,965;
200105;0800;55,0708;
200105;0900;51,4317;
200105;1000;47,6842;
200105;1100;44,0708;
200105;1200;40,0942;
200105;1300;37,3942;
200105;1400;34,9417;
200105;1500;30,9333;
200105;1600;29,845;
200105;1700;29,9192;
200105;1800;29,985;
200105;1900;31,1208;
200105;2000;42,0158;
200105;2100;47,2492;
200105;2200;52,28;
200105;2300;55,6617;
200106;0000;57,6775;
200106;0100;61,4175;
200106;0200;65,4976;
200106;0300;69,0692;
200106;0400;72,6642;
200106;0500;77,355;
200106;0600;78,7192;
200106;0700;74,4242;
200106;0800;65,8068;
200106;0900;57,4992;
200106;1000;50,9475;
200106;1100;43,415;
200106;1200;39,4517;
200106;1300;35,1617;
200106;1400;31,6767;
200106;1500;29,8475;
200106;1600;31,1342;
200106;1700;31,0008;
200106;1800;31,2925;
200106;1900;34,81;
200106;2000;40,5442;
200106;2100;43,66;
