FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0100;0,27;;;
200101;0200;0,18;;;
200101;0300;0,11;;;
200101;0400;0,1;;;
200101;0500;0,1;;;
200101;0600;0,1;;;
200101;0700;0,1;;;
200101;0800;0,1;;;
200101;0900;0,1;;;
200101;1000;0,1;;;
200101;1100;0,1;;;
200101;1200;0,1;;;
200101;1300;0,1;;;
200101;1400;0,1;;;
200101;1500;0,1;;;
200101;1600;0,1;;;
200101;1700;0,1;;;
200101;1800;0,1;;;
200101;1900;0,1;;;
200101;2000;0,1;;;
200101;2100;0,11;;;
200101;2200;0,1;;;
200101;2300;0,1;;;
200102;0000;0,1;;;
200102;0100;0,1;;;
200102;0200;0,1;;;
200102;0300;0,1;;;
200102;0400;0,1;;;
200102;0500;0,1;;;
200102;0600;0,1;;;
200102;0700;0,1;;;
200102;0800;0,24;;;
200102;0900;0,1;;;
200102;1000;0,1;;;
200102;1100;0,1;;;
200102;1200;0,1;;;
200102;1300;0,1;;;
200102;1400;0,1;;;
200102;1500;0,1;;;
200102;1600;0,14;;;
200102;1700;0,15;;;
200102;1800;0,16;;;
200102;1900;0,17;;;
200102;2000;0,14;;;
200102;2100;0,18;;;
200102;2200;0,21;;;
200102;2300;0,18;;;
200103;0000;0,17;;;
200103;0100;0,11;;;
200103;0200;0,16;;;
200103;0300;0,23;;;
200103;0400;0,23;;;
200103;0500;0,16;;;
200103;0600;0,19;;;
200103;0700;0,2;;;
200103;0800;0,19;;;
200103;0900;0,17;;;
200103;1000;0,16;;;
200103;1100;0,18;;;
200103;1200;0,14;;;
200103;1300;0,12;;;
200103;1400;0,11;;;
200103;1500;0,12;;;
200103;1600;0,15;;;
200103;1700;0,18;;;
200103;1800;0,21;;;
200103;1900;0,21;;;
200103;2000;0,15;;;
200103;2100;0,23;;;
200103;2200;0,21;;;
200103;2300;0,2;;;
200104;0000;0,22;;;
200104;0100;0,13;;;
200104;0200;0,14;;;
200104;0300;0,17;;;
200104;0400;0,2;;;
200104;0500;0,21;;;
200104;0600;0,16;;;
200104;0700;0,16;;;
200104;0800;0,19;;;
200104;0900;0,17;;;
200104;1000;0,12;;;
200104;1100;0,18;;;
200104;1200;0,16;;;
200104;1300;0,22;;;
200104;1400;0,16;;;
200104;1500;0,25;;;
200104;1600;0,24;;;
200104;1700;0,17;;;
200104;1800;0,17;;;
200104;1900;0,23;;;
200104;2000;0,35;;;
200104;2100;0,28;;;
200104;2200;0,27;;;
200104;2300;0,3;;;
200105;0000;0,27;;;
200105;0100;0,27;;;
200105;0200;0,22;;;
200105;0300;0,24;;;
200105;0400;0,26;;;
200105;0500;0,18;;;
200105;0600;0,13;;;
200105;0700;0,13;;;
200105;0800;0,11;;;
200105;0900;0,11;;;
200105;1000;0,12;;;
200105;1100;0,11;;;
200105;1200;0,12;;;
200105;1300;0,18;;;
200105;1400;0,21;;;
200105;1500;0,16;;;
200105;1600;0,12;;;
200105;1700;0,15;;;
200105;1800;0,17;;;
200105;1900;0,14;;;
200105;2000;0,14;;;
200105;2100;0,18;;;
200105;2200;0,24;;;
200105;2300;0,14;;;
200106;0000;0,11;;;
200106;0100;0,19;;;
200106;0200;0,2;;;
200106;0300;0,2;;;
200106;0400;0,14;;;
200106;0500;0,13;;;
200106;0600;0,18;;;
200106;0700;0,2;;;
200106;0800;0,18;;;
200106;0900;0,2;;;
200106;1000;0,14;;;
200106;1100;0,16;;;
200106;1200;0,18;;;
200106;1300;0,19;;;
200106;1400;0,3;;;
200106;1500;0,18;;;
200106;1600;0,23;;;
200106;1700;0,16;;;
200106;1800;0,27;;;
200106;1900;0,28;;;
200106;2000;0,2;;;
200106;2100;0,21;;;
200106;2200;0,19;;;
200106;2300;0,17;;;
200107;0000;0,14;;;
200107;0100;0,13;;;
200107;0200;0,12;;;
200107;0300;0,2;;;
200107;0400;0,31;;;
200107;0500;0,28;;;
200107;0600;0,35;;;
200107;0700;0,74;;;
200107;0800;0,24;;;
200107;0900;0,29;;;
200107;1000;0,26;;;
200107;1100;0,28;;;
200107;1200;0,18;;;
200107;1300;0,16;;;
200107;1400;0,11;;;
200107;1500;;;;
200107;1600;0,42;;;
200107;1700;0,28;;;
200107;1800;0,31;;;
200107;1900;0,21;;;
200107;2000;0,21;;;
200107;2100;0,23;;;
200107;2200;0,23;;;
200107;2300;0,14;;;
200108;0000;0,2;;;
200108;0100;0,15;;;
200108;0200;0,15;;;
200108;0300;0,27;;;
200108;0400;0,2;;;
200108;0500;0,11;;;
200108;0600;0,14;;;
200108;0700;0,14;;;
200108;0800;0,13;;;
200108;0900;0,55;;;
200108;1000;0,12;;;
200108;1100;0,13;;;
200108;1200;0,16;;;
200108;1300;0,16;;;
200108;1400;0,18;;;
200108;1500;0,14;;;
200108;1600;0,13;;;
200108;1700;0,16;;;
200108;1800;0,15;;;
200108;1900;0,12;;;
200108;2000;0,13;;;
200108;2100;0,12;;;
200108;2200;0,13;;;
200108;2300;0,15;;;
200109;0000;0,17;;;
200109;0100;0,15;;;
200109;0200;0,12;;;
200109;0300;0,12;;;
200109;0400;0,13;;;
200109;0500;0,12;;;
200109;0600;0,11;;;
200109;0700;0,14;;;
200109;0800;0,15;;;
200109;0900;0,12;;;
200109;1000;0,13;;;
200109;1100;0,69;;;
200109;1200;0,77;;;
200109;1300;0,84;;;
200109;1400;;;;
200109;1500;;;;
200109;1600;;;;
200109;1700;;;;
200109;1800;0,32;;;
200109;1900;0,27;;;
200109;2000;0,28;;;
200109;2100;0,28;;;
200109;2200;0,27;;;
200109;2300;0,29;;;
200110;0000;0,26;;;
200110;0100;0,26;;;
200110;0200;0,26;;;
200110;0300;0,26;;;
200110;0400;0,27;;;
200110;0500;0,28;;;
200110;0600;0,31;;;
200110;0700;0,27;;;
200110;0800;0,23;;;
200110;0900;0,23;;;
200110;1000;0,21;;;
200110;1100;0,2;;;
200110;1200;0,22;;;
200110;1300;0,22;;;
200110;1400;0,23;;;
200110;1500;0,25;;;
200110;1600;0,27;;;
200110;1700;0,27;;;
200110;1800;0,27;;;
200110;1900;0,27;;;
200110;2000;0,38;;;
200110;2100;0,51;;;
200110;2200;0,43;;;
200110;2300;0,56;;;
200111;0000;0,5;;;
200111;0100;0,41;;;
200111;0200;0,37;;;
200111;0300;0,31;;;
200111;0400;0,31;;;
200111;0500;0,3;;;
200111;0600;0,29;;;
200111;0700;0,27;;;
200111;0800;0,24;;;
200111;0900;0,22;;;
200111;1000;0,24;;;
200111;1100;0,2;;;
200111;1200;0,21;;;
200111;1300;0,21;;;
200111;1400;0,21;;;
200111;1500;0,21;;;
200111;1600;0,22;;;
200111;1700;0,23;;;
200111;1800;0,25;;;
200111;1900;0,26;;;
200111;2000;0,45;;;
200111;2100;0,34;;;
200111;2200;0,41;;;
200111;2300;0,45;;;
200112;0000;0,39;;;
200112;0100;0,3;;;
200112;0200;0,38;;;
200112;0300;0,42;;;
200112;0400;0,45;;;
200112;0500;0,4;;;
200112;0600;0,42;;;
200112;0700;0,2;;;
200112;0800;0,16;;;
200112;0900;0,15;;;
200112;1000;0,15;;;
200112;1100;0,16;;;
200112;1200;0,18;;;
200112;1300;0,23;;;
200112;1400;0,22;;;
200112;1500;0,24;;;
200112;1600;0,27;;;
200112;1700;0,28;;;
200112;1800;0,26;;;
200112;1900;0,26;;;
200112;2000;0,22;;;
200112;2100;0,18;;;
200112;2200;0,24;;;
200112;2300;0,2;;;
200113;0000;0,18;;;
200113;0100;0,17;;;
200113;0200;0,17;;;
200113;0300;0,17;;;
200113;0400;0,17;;;
200113;0500;0,19;;;
200113;0600;0,23;;;
200113;0700;0,26;;;
200113;0800;0,22;;;
200113;0900;0,15;;;
200113;1000;0,14;;;
200113;1100;0,14;;;
200113;1200;0,14;;;
200113;1300;0,21;;;
200113;1400;0,33;;;
200113;1500;0,3;;;
200113;1600;0,32;;;
200113;1700;0,31;;;
200113;1800;0,33;;;
200113;1900;0,39;;;
200113;2000;0,38;;;
200113;2100;0,31;;;
200113;2200;0,33;;;
200113;2300;0,42;;;
200114;0000;0,27;;;
200114;0100;0,24;;;
200114;0200;0,23;;;
200114;0300;0,24;;;
200114;0400;0,27;;;
200114;0500;0,29;;;
200114;0600;0,31;;;
200114;0700;0,26;;;
200114;0800;0,21;;;
200114;0900;0,22;;;
200114;1000;0,22;;;
200114;1100;0,24;;;
200114;1200;0,24;;;
200114;1300;0,23;;;
200114;1400;0,23;;;
200114;1500;0,22;;;
200114;1600;0,25;;;
200114;1700;0,24;;;
200114;1800;0,25;;;
200114;1900;0,26;;;
200114;2000;0,27;;;
200114;2100;0,28;;;
200114;2200;0,25;;;
200114;2300;0,21;;;
200115;0000;0,18;;;
200115;0100;0,16;;;
200115;0200;0,17;;;
200115;0300;0,15;;;
200115;0400;0,15;;;
200115;0500;0,15;;;
200115;0600;0,17;;;
200115;0700;0,17;;;
200115;0800;0,14;;;
200115;0900;0,14;;;
200115;1000;0,15;;;
200115;1100;0,16;;;
200115;1200;0,15;;;
200115;1300;0,16;;;
200115;1400;0,2;;;
200115;1500;0,22;;;
200115;1600;0,24;;;
200115;1700;0,27;;;
200115;1800;0,32;;;
200115;1900;0,35;;;
200115;2000;0,35;;;
200115;2100;0,25;;;
200115;2200;0,19;;;
200115;2300;0,17;;;
200116;0000;0,17;;;
200116;0100;0,19;;;
200116;0200;0,13;;;
200116;0300;0,14;;;
200116;0400;0,14;;;
200116;0500;0,15;;;
200116;0600;0,16;;;
200116;0700;0,18;;;
200116;0800;0,15;;;
200116;0900;0,13;;;
200116;1000;0,13;;;
200116;1100;0,15;;;
200116;1200;0,15;;;
200116;1300;0,15;;;
200116;1400;0,16;;;
200116;1500;0,43;;;
200116;1600;0,2;;;
200116;1700;0,25;;;
200116;1800;0,23;;;
200116;1900;0,31;;;
200116;2000;0,52;;;
200116;2100;0,33;;;
200116;2200;0,68;;;
200116;2300;0,89;;;
200117;0000;0,51;;;
200117;0100;0,39;;;
200117;0200;0,41;;;
200117;0300;0,37;;;
200117;0400;0,36;;;
200117;0500;0,4;;;
200117;0600;0,54;;;
200117;0700;0,51;;;
200117;0800;0,27;;;
