FECHA (YYMMDD);HORA (HHMM);;
200101;0100;107,119;
200101;0200;108,165;
200101;0300;108,022;
200101;0400;129,765;
200101;0500;107,33;
200101;0600;119,911;
200101;0700;98,946;
200101;0800;262,578;
200101;0900;326,386;
200101;1000;340,751;
200101;1100;333,698;
200101;1200;309,369;
200101;1300;276,736;
200101;1400;258,38;
200101;1500;263,431;
200101;1600;252,216;
200101;1700;246,864;
200101;1800;237,083;
200101;1900;239,783;
200101;2000;241,426;
200101;2100;221,942;
200101;2200;201,023;
200101;2300;208,928;
200102;0000;213,194;
200102;0100;209,691;
200102;0200;194,507;
200102;0300;186,851;
200102;0400;207,45;
200102;0500;205,626;
200102;0600;339,546;
200102;0700;327,111;
200102;0800;321,062;
200102;0900;20,4873;
200102;1000;114,755;
200102;1100;145,188;
200102;1200;150,858;
200102;1300;134,339;
200102;1400;110,386;
200102;1500;117,505;
200102;1600;177,414;
200102;1700;251,918;
200102;1800;245,583;
200102;1900;229,777;
200102;2000;236,497;
200102;2100;244,369;
200102;2200;166,877;
200102;2300;138,279;
200103;0000;138,423;
200103;0100;109,903;
200103;0200;107,291;
200103;0300;101,429;
200103;0400;151,047;
200103;0500;138,778;
200103;0600;95,0201;
200103;0700;115,466;
200103;0800;65,6777;
200103;0900;137,213;
200103;1000;160,339;
200103;1100;124,869;
200103;1200;160,35;
200103;1300;129,505;
200103;1400;125,428;
200103;1500;133,75;
200103;1600;139,699;
200103;1700;136,626;
200103;1800;165,774;
200103;1900;212,421;
200103;2000;215,186;
200103;2100;208,337;
200103;2200;192,385;
200103;2300;181,337;
200104;0000;186,807;
200104;0100;174,901;
200104;0200;173,988;
200104;0300;170,868;
200104;0400;153,874;
200104;0500;154,758;
200104;0600;146,105;
200104;0700;158,304;
200104;0800;150,427;
200104;0900;131,63;
200104;1000;130,581;
200104;1100;135,42;
200104;1200;133,457;
200104;1300;106,45;
200104;1400;137,445;
200104;1500;148,082;
200104;1600;126,378;
200104;1700;132,278;
200104;1800;138,154;
200104;1900;142,613;
200104;2000;175,073;
200104;2100;203,941;
200104;2200;187,242;
200104;2300;173,913;
200105;0000;177,642;
200105;0100;163,695;
200105;0200;153,895;
200105;0300;151,03;
200105;0400;150,946;
200105;0500;158,879;
200105;0600;161,357;
200105;0700;164,392;
200105;0800;159,87;
200105;0900;161,838;
200105;1000;144,029;
200105;1100;132,476;
200105;1200;141,372;
200105;1300;128,683;
200105;1400;114,983;
200105;1500;106,593;
200105;1600;107,388;
200105;1700;132,74;
200105;1800;145,74;
200105;1900;141,372;
200105;2000;227,267;
200105;2100;213,041;
200105;2200;207,869;
200105;2300;174,508;
200106;0000;170,794;
200106;0100;169,484;
200106;0200;188,172;
200106;0300;167,77;
200106;0400;91,9745;
200106;0500;87,011;
200106;0600;109,917;
200106;0700;79,3615;
200106;0800;163,79;
200106;0900;163,766;
200106;1000;135,889;
200106;1100;123,078;
200106;1200;162,136;
200106;1300;147,948;
200106;1400;145,194;
200106;1500;138,738;
200106;1600;98,2483;
200106;1700;104,346;
200106;1800;116,384;
200106;1900;191,345;
200106;2000;217,786;
200106;2100;217,254;
200106;2200;218,759;
200106;2300;229,277;
200107;0000;108,666;
200107;0100;110,625;
200107;0200;352,042;
200107;0300;348,834;
200107;0400;335,27;
200107;0500;332,318;
200107;0600;332,892;
200107;0700;52,2521;
200107;0800;114,096;
200107;0900;135,82;
200107;1000;134,55;
200107;1100;154,309;
200107;1200;14,684;
200107;1300;287,034;
200107;1400;275,515;
200107;1500;271,91;
200107;1600;267,515;
200107;1700;270,841;
200107;1800;277,253;
200107;1900;258,393;
200107;2000;245,527;
200107;2100;215,597;
200107;2200;208,73;
200107;2300;232,329;
200108;0000;228,682;
200108;0100;232,608;
200108;0200;222,492;
200108;0300;238,093;
200108;0400;249,48;
200108;0500;263,237;
200108;0600;311,426;
200108;0700;308,515;
200108;0800;320,729;
200108;0900;9,30998;
200108;1000;20,9794;
200108;1100;20,9126;
200108;1200;254,26;
200108;1300;279,191;
