FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0100;18,89;;;
200101;0200;16,66;;;
200101;0300;11,98;;;
200101;0400;8,77;;;
200101;0500;6,87;;;
200101;0600;3,54;;;
200101;0700;2,74;;;
200101;0800;2,38;;;
200101;0900;1,12;;;
200101;1000;1;;;
200101;1100;1;;;
200101;1200;1,03;;;
200101;1300;1,04;;;
200101;1400;1;;;
200101;1500;1,15;;;
200101;1600;1;;;
200101;1700;1;;;
200101;1800;1,05;;;
200101;1900;2,14;;;
200101;2000;2,68;;;
200101;2100;4,11;;;
200101;2200;5,36;;;
200101;2300;4,51;;;
200102;0000;1,93;;;
200102;0100;1,06;;;
200102;0200;1,92;;;
200102;0300;1,32;;;
200102;0400;1,66;;;
200102;0500;3,78;;;
200102;0600;5,26;;;
200102;0700;4,35;;;
200102;0800;4,56;;;
200102;0900;3,23;;;
200102;1000;3,54;;;
200102;1100;3,44;;;
200102;1200;2,35;;;
200102;1300;2,19;;;
200102;1400;1,53;;;
200102;1500;1,22;;;
200102;1600;7,97;;;
200102;1700;3,85;;;
200102;1800;3,59;;;
200102;1900;5,02;;;
200102;2000;4,36;;;
200102;2100;2,98;;;
200102;2200;6,84;;;
200102;2300;5,27;;;
200103;0000;3,36;;;
200103;0100;2,33;;;
200103;0200;1,47;;;
200103;0300;1,01;;;
200103;0400;1,94;;;
200103;0500;3,49;;;
200103;0600;5,11;;;
200103;0700;3,62;;;
200103;0800;5,65;;;
200103;0900;3,38;;;
200103;1000;2,25;;;
200103;1100;1,59;;;
200103;1200;1,9;;;
200103;1300;1,86;;;
200103;1400;1,51;;;
200103;1500;2,6;;;
200103;1600;2,45;;;
200103;1700;2,37;;;
200103;1800;4,55;;;
200103;1900;7,74;;;
200103;2000;9,68;;;
200103;2100;7,7;;;
200103;2200;8,82;;;
200103;2300;7,13;;;
200104;0000;2,7;;;
200104;0100;1,68;;;
200104;0200;1,31;;;
200104;0300;1,18;;;
200104;0400;1,42;;;
200104;0500;2,05;;;
200104;0600;2,76;;;
200104;0700;1,58;;;
200104;0800;1,46;;;
200104;0900;1,28;;;
200104;1000;1,13;;;
200104;1100;1;;;
200104;1200;1,02;;;
200104;1300;1,09;;;
200104;1400;2,49;;;
200104;1500;3,9;;;
200104;1600;3,4;;;
200104;1700;2,86;;;
200104;1800;2,95;;;
200104;1900;5,51;;;
200104;2000;16,17;;;
200104;2100;16,86;;;
200104;2200;9,69;;;
200104;2300;5,06;;;
200105;0000;4,74;;;
200105;0100;1,64;;;
200105;0200;1,92;;;
200105;0300;2,35;;;
200105;0400;2,2;;;
200105;0500;1,98;;;
200105;0600;1,37;;;
200105;0700;1,36;;;
200105;0800;1;;;
200105;0900;1;;;
200105;1000;1,04;;;
200105;1100;1;;;
