FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0100;12,9975;;;
200101;0200;4,65388;;;
200101;0300;1,12154;;;
200101;0400;1,0412;;;
200101;0500;1;;;
200101;0600;1,0051;;;
200101;0700;1,44279;;;
200101;0800;1,08778;;;
200101;0900;1;;;
200101;1000;1;;;
200101;1100;1;;;
200101;1200;1;;;
200101;1300;1;;;
200101;1400;1;;;
200101;1500;1,0398;;;
200101;1600;1;;;
200101;1700;1;;;
200101;1800;1,04697;;;
200101;1900;1,46618;;;
200101;2000;1,47745;;;
200101;2100;1,40843;;;
200101;2200;1,33748;;;
200101;2300;1,42633;;;
200102;0000;1,12499;;;
200102;0100;1;;;
200102;0200;1,02628;;;
200102;0300;1;;;
200102;0400;1,00369;;;
200102;0500;1,59408;;;
200102;0600;3,23875;;;
200102;0700;3,98129;;;
200102;0800;4,04724;;;
200102;0900;1,69956;;;
200102;1000;1,54882;;;
200102;1100;1,21797;;;
200102;1200;1,06605;;;
200102;1300;1,12632;;;
200102;1400;1,02485;;;
200102;1500;1;;;
200102;1600;6,43559;;;
200102;1700;3,30394;;;
200102;1800;2,64352;;;
200102;1900;3,72936;;;
200102;2000;2,36884;;;
200102;2100;1,25066;;;
200102;2200;1,35745;;;
200102;2300;1,6237;;;
200103;0000;1;;;
200103;0100;1;;;
200103;0200;1;;;
200103;0300;1;;;
200103;0400;1,06289;;;
200103;0500;1,18143;;;
200103;0600;2,90704;;;
200103;0700;3,56347;;;
200103;0800;5,41002;;;
200103;0900;2,21317;;;
200103;1000;2,26609;;;
200103;1100;1,06632;;;
200103;1200;1,02929;;;
200103;1300;1,21612;;;
200103;1400;1;;;
200103;1500;1,44105;;;
200103;1600;1,18804;;;
200103;1700;1,00851;;;
200103;1800;1,27834;;;
200103;1900;2,41868;;;
200103;2000;3,00557;;;
200103;2100;2,11731;;;
200103;2200;3,59964;;;
200103;2300;3,94328;;;
200104;0000;1,71124;;;
200104;0100;1,08822;;;
200104;0200;1,0242;;;
200104;0300;1,15059;;;
200104;0400;1,02387;;;
200104;0500;1,03895;;;
200104;0600;2,87761;;;
200104;0700;1,8878;;;
200104;0800;1,59344;;;
200104;0900;1,63396;;;
200104;1000;1,45722;;;
200104;1100;1,03121;;;
200104;1200;1,02347;;;
200104;1300;1,00084;;;
200104;1400;1;;;
200104;1500;1;;;
200104;1600;1;;;
200104;1700;1;;;
200104;1800;1,05338;;;
200104;1900;1,11017;;;
200104;2000;2,91032;;;
200104;2100;4,07075;;;
200104;2200;1,99508;;;
200104;2300;1,22737;;;
200105;0000;1,44736;;;
200105;0100;1,04453;;;
200105;0200;1;;;
200105;0300;1;;;
200105;0400;1;;;
200105;0500;1,17059;;;
200105;0600;1,6818;;;
200105;0700;1,46326;;;
200105;0800;1,03236;;;
200105;0900;1,09149;;;
200105;1000;1,02712;;;
200105;1100;1;;;
200105;1200;1;;;
200105;1300;1,08814;;;
200105;1400;1,05363;;;
200105;1500;1;;;
200105;1600;1;;;
200105;1700;1,06905;;;
200105;1800;1;;;
200105;1900;1;;;
200105;2000;1,74082;;;
200105;2100;2,64252;;;
200105;2200;2,49804;;;
200105;2300;1,66559;;;
200106;0000;1,53617;;;
200106;0100;1,7319;;;
200106;0200;1,23162;;;
200106;0300;1,14208;;;
200106;0400;1,00151;;;
200106;0500;1;;;
200106;0600;3,94386;;;
200106;0700;6,19707;;;
200106;0800;3,91551;;;
200106;0900;2,59509;;;
200106;1000;1,42402;;;
200106;1100;1,18583;;;
200106;1200;1,34455;;;
200106;1300;1,01853;;;
200106;1400;1;;;
200106;1500;1,08539;;;
