FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0100;31,8901;;;
200101;0200;21,3098;;;
200101;0300;13,1005;;;
200101;0400;9,81378;;;
200101;0500;7,87377;;;
200101;0600;4,54756;;;
200101;0700;4,18737;;;
200101;0800;3,46938;;;
200101;0900;1,79634;;;
200101;1000;1,39381;;;
200101;1100;1,21422;;;
200101;1200;1,44331;;;
200101;1300;1,88466;;;
200101;1400;1,50369;;;
200101;1500;1,85424;;;
200101;1600;1,35364;;;
200101;1700;1,43905;;;
200101;1800;1,79526;;;
200101;1900;3,60494;;;
200101;2000;4,16075;;;
200101;2100;5,51868;;;
200101;2200;6,70205;;;
200101;2300;5,93674;;;
200102;0000;3,04066;;;
200102;0100;1,85414;;;
200102;0200;2,94785;;;
200102;0300;2,11712;;;
200102;0400;2,58767;;;
200102;0500;5,3758;;;
200102;0600;8,49927;;;
200102;0700;8,33527;;;
200102;0800;8,60855;;;
200102;0900;4,92937;;;
200102;1000;5,09146;;;
200102;1100;4,65734;;;
200102;1200;3,41699;;;
200102;1300;3,3182;;;
200102;1400;2,52562;;;
200102;1500;2,14863;;;
200102;1600;14,4037;;;
200102;1700;7,15572;;;
200102;1800;6,23207;;;
200102;1900;8,74469;;;
200102;2000;6,72533;;;
200102;2100;4,23269;;;
200102;2200;8,19281;;;
200102;2300;6,88884;;;
200103;0000;4,36275;;;
200103;0100;3,32792;;;
200103;0200;2,4665;;;
200103;0300;1,79093;;;
200103;0400;2,99276;;;
200103;0500;4,66681;;;
200103;0600;8,02156;;;
200103;0700;7,18016;;;
200103;0800;11,0555;;;
200103;0900;5,59278;;;
200103;1000;4,51579;;;
200103;1100;2,63839;;;
200103;1200;2,93313;;;
200103;1300;3,07759;;;
200103;1400;2,50508;;;
200103;1500;4,04299;;;
200103;1600;3,64104;;;
200103;1700;3,37632;;;
200103;1800;5,83163;;;
200103;1900;10,1576;;;
200103;2000;12,6863;;;
200103;2100;9,81961;;;
200103;2200;12,4243;;;
200103;2300;11,0762;;;
200104;0000;4,41466;;;
200104;0100;2,70916;;;
200104;0200;2,3163;;;
200104;0300;1,99886;;;
200104;0400;2,27105;;;
200104;0500;3,09364;;;
200104;0600;5,63353;;;
200104;0700;3,46306;;;
200104;0800;3,05563;;;
200104;0900;2,91234;;;
200104;1000;2,57826;;;
200104;1100;1,797;;;
200104;1200;1,95893;;;
200104;1300;1,8968;;;
200104;1400;3,47928;;;
200104;1500;4,90383;;;
200104;1600;4,40108;;;
200104;1700;3,85785;;;
200104;1800;4,00016;;;
200104;1900;6,61581;;;
200104;2000;19,0843;;;
200104;2100;20,9306;;;
200104;2200;11,6867;;;
200104;2300;6,2844;;;
200105;0000;6,18492;;;
200105;0100;2,68364;;;
200105;0200;2,91792;;;
200105;0300;3,35437;;;
200105;0400;3,19735;;;
200105;0500;3,08001;;;
200105;0600;2,8261;;;
200105;0700;2,60555;;;
200105;0800;1,30777;;;
200105;0900;1,53303;;;
200105;1000;1,5916;;;
200105;1100;1,31963;;;
200105;1200;1,08182;;;
200105;1300;1,37024;;;
200105;1400;1,17036;;;
200105;1500;1,05988;;;
200105;1600;1,05893;;;
200105;1700;1,69096;;;
200105;1800;1,99435;;;
200105;1900;2,80672;;;
200105;2000;6,80168;;;
200105;2100;8,04668;;;
200105;2200;7,18533;;;
200105;2300;4,49924;;;
200106;0000;3,23752;;;
200106;0100;2,91869;;;
