FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0100;2;;;
200101;0200;3;;;
200101;0300;4;;;
200101;0400;6;;;
200101;0500;6;;;
200101;0600;8;;;
200101;0700;11;;;
200101;0800;14;;;
200101;0900;14;;;
200101;1000;13;;;
200101;1100;15;;;
200101;1200;17;;;
200101;1300;20;;;
200101;1400;19;;;
200101;1500;16;;;
200101;1600;15;;;
200101;1700;15;;;
200101;1800;14;;;
200101;1900;13;;;
200101;2000;11;;;
200101;2100;10;;;
200101;2200;9;;;
200101;2300;9;;;
200102;0000;10;;;
200102;0100;10;;;
200102;0200;7;;;
200102;0300;8;;;
200102;0400;7;;;
200102;0500;6;;;
200102;0600;5;;;
200102;0700;7;;;
200102;0800;9;;;
200102;0900;11;;;
200102;1000;12;;;
200102;1100;16;;;
200102;1200;20;;;
200102;1300;25;;;
200102;1400;28;;;
200102;1500;30;;;
200102;1600;25;;;
200102;1700;14;;;
200102;1800;14;;;
200102;1900;11;;;
200102;2000;10;;;
200102;2100;12;;;
200102;2200;8;;;
200102;2300;8;;;
200103;0000;7;;;
200103;0100;7;;;
200103;0200;7;;;
200103;0300;7;;;
200103;0400;6;;;
200103;0500;5;;;
200103;0600;5;;;
200103;0700;8;;;
200103;0800;9;;;
200103;0900;13;;;
200103;1000;13;;;
200103;1100;16;;;
200103;1200;20;;;
200103;1300;24;;;
200103;1400;29;;;
200103;1500;29;;;
200103;1600;29;;;
200103;1700;28;;;
200103;1800;23;;;
200103;1900;15;;;
200103;2000;10;;;
200103;2100;8;;;
200103;2200;8;;;
200103;2300;8;;;
200104;0000;8;;;
200104;0100;7;;;
200104;0200;7;;;
200104;0300;6;;;
200104;0400;5;;;
200104;0500;4;;;
200104;0600;3;;;
200104;0700;3;;;
200104;0800;3;;;
200104;0900;3;;;
200104;1000;2;;;
200104;1100;2;;;
200104;1200;3;;;
200104;1300;4;;;
200104;1400;6;;;
200104;1500;14;;;
200104;1600;20;;;
200104;1700;24;;;
200104;1800;23;;;
200104;1900;21;;;
200104;2000;13;;;
200104;2100;10;;;
200104;2200;12;;;
200104;2300;18;;;
200105;0000;18;;;
200105;0100;16;;;
200105;0200;13;;;
200105;0300;11;;;
200105;0400;10;;;
200105;0500;10;;;
200105;0600;11;;;
200105;0700;12;;;
200105;0800;13;;;
200105;0900;14;;;
200105;1000;15;;;
200105;1100;17;;;
200105;1200;18;;;
200105;1300;18;;;
200105;1400;19;;;
200105;1500;20;;;
200105;1600;21;;;
200105;1700;22;;;
200105;1800;20;;;
200105;1900;18;;;
200105;2000;12;;;
200105;2100;11;;;
200105;2200;10;;;
200105;2300;11;;;
200106;0000;11;;;
200106;0100;11;;;
200106;0200;11;;;
200106;0300;10;;;
200106;0400;8;;;
200106;0500;5;;;
200106;0600;4;;;
200106;0700;5;;;
200106;0800;8;;;
200106;0900;11;;;
200106;1000;13;;;
200106;1100;15;;;
200106;1200;18;;;
200106;1300;19;;;
200106;1400;21;;;
200106;1500;23;;;
200106;1600;23;;;
200106;1700;24;;;
200106;1800;23;;;
200106;1900;16;;;
200106;2000;11;;;
200106;2100;12;;;
200106;2200;12;;;
200106;2300;7;;;
200107;0000;7;;;
200107;0100;7;;;
200107;0200;3;;;
200107;0300;3;;;
200107;0400;2;;;
200107;0500;2;;;
200107;0600;2;;;
200107;0700;7;;;
200107;0800;13;;;
200107;0900;13;;;
200107;1000;14;;;
200107;1100;17;;;
200107;1200;23;;;
200107;1300;24;;;
200107;1400;16;;;
200107;1500;13;;;
200107;1600;;;;
200107;1700;;;;
200107;1800;;;;
200107;1900;;;;
200107;2000;;;;
200107;2100;;;;
200107;2200;;;;
200107;2300;;;;
200108;0000;;;;
200108;0100;;;;
200108;0200;;;;
200108;0300;;;;
200108;0400;;;;
200108;0500;;;;
200108;0600;;;;
200108;0700;;;;
200108;0800;;;;
200108;0900;;;;
200108;1000;;;;
200108;1100;;;;
200108;1200;;;;
200108;1300;;;;
200108;1400;;;;
200108;1500;;;;
200108;1600;;;;
200108;1700;;;;
200108;1800;;;;
200108;1900;;;;
200108;2000;;;;
200108;2100;;;;
200108;2200;;;;
200108;2300;;;;
200109;0000;;;;
200109;0100;;;;
200109;0200;;;;
200109;0300;;;;
200109;0400;;;;
200109;0500;;;;
200109;0600;;;;
200109;0700;;;;
200109;0800;;;;
200109;0900;;;;
200109;1000;;;;
200109;1100;;;;
200109;1200;;;;
200109;1300;;;;
200109;1400;20;;;
200109;1500;;;;
200109;1600;;;;
200109;1700;;;;
200109;1800;19;;;
200109;1900;18;;;
200109;2000;15;;;
200109;2100;16;;;
