FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0100;66;;;
200101;0200;57;;;
200101;0300;42;;;
200101;0400;35;;;
200101;0500;36;;;
200101;0600;29;;;
200101;0700;32;;;
200101;0800;24;;;
200101;0900;22;;;
200101;1000;16;;;
200101;1100;21;;;
200101;1200;26;;;
200101;1300;27;;;
200101;1400;21;;;
200101;1500;22;;;
200101;1600;21;;;
200101;1700;18;;;
200101;1800;16;;;
200101;1900;19;;;
200101;2000;26;;;
200101;2100;19;;;
200101;2200;22;;;
200101;2300;23;;;
200102;0000;16;;;
200102;0100;15;;;
200102;0200;8;;;
200102;0300;20;;;
200102;0400;16;;;
200102;0500;15;;;
200102;0600;12;;;
200102;0700;29;;;
200102;0800;28;;;
200102;0900;24;;;
200102;1000;37;;;
200102;1100;43;;;
200102;1200;35;;;
200102;1300;48;;;
200102;1400;27;;;
200102;1500;24;;;
200102;1600;48;;;
200102;1700;40;;;
200102;1800;25;;;
200102;1900;27;;;
200102;2000;22;;;
200102;2100;23;;;
200102;2200;23;;;
200102;2300;25;;;
200103;0000;23;;;
200103;0100;25;;;
200103;0200;19;;;
200103;0300;22;;;
200103;0400;19;;;
200103;0500;20;;;
200103;0600;21;;;
200103;0700;35;;;
200103;0800;29;;;
200103;0900;21;;;
200103;1000;25;;;
200103;1100;25;;;
200103;1200;31;;;
200103;1300;42;;;
200103;1400;37;;;
200103;1500;38;;;
200103;1600;50;;;
200103;1700;29;;;
200103;1800;29;;;
200103;1900;26;;;
200103;2000;26;;;
200103;2100;30;;;
200103;2200;21;;;
200103;2300;19;;;
200104;0000;19;;;
200104;0100;18;;;
200104;0200;15;;;
200104;0300;12;;;
200104;0400;18;;;
200104;0500;9;;;
200104;0600;19;;;
200104;0700;15;;;
200104;0800;15;;;
200104;0900;;;;
200104;1000;20;;;
200104;1100;21;;;
200104;1200;24;;;
200104;1300;18;;;
200104;1400;16;;;
200104;1500;18;;;
200104;1600;21;;;
200104;1700;20;;;
200104;1800;23;;;
200104;1900;30;;;
200104;2000;47;;;
200104;2100;34;;;
200104;2200;31;;;
200104;2300;44;;;
200105;0000;62;;;
200105;0100;46;;;
200105;0200;44;;;
200105;0300;45;;;
200105;0400;38;;;
200105;0500;20;;;
200105;0600;22;;;
200105;0700;21;;;
200105;0800;13;;;
200105;0900;18;;;
200105;1000;21;;;
200105;1100;16;;;
200105;1200;17;;;
200105;1300;20;;;
200105;1400;22;;;
200105;1500;15;;;
200105;1600;18;;;
200105;1700;16;;;
200105;1800;19;;;
200105;1900;12;;;
200105;2000;23;;;
200105;2100;7;;;
200105;2200;17;;;
200105;2300;12;;;
200106;0000;9;;;
200106;0100;6;;;
200106;0200;6;;;
200106;0300;9;;;
200106;0400;17;;;
200106;0500;7;;;
200106;0600;24;;;
200106;0700;29;;;
200106;0800;19;;;
200106;0900;16;;;
200106;1000;20;;;
200106;1100;22;;;
200106;1200;17;;;
200106;1300;28;;;
200106;1400;17;;;
200106;1500;27;;;
200106;1600;36;;;
200106;1700;21;;;
200106;1800;24;;;
200106;1900;22;;;
200106;2000;25;;;
200106;2100;15;;;
200106;2200;14;;;
200106;2300;21;;;
200107;0000;19;;;
200107;0100;17;;;
200107;0200;20;;;
200107;0300;19;;;
200107;0400;19;;;
200107;0500;26;;;
200107;0600;43;;;
200107;0700;34;;;
200107;0800;32;;;
200107;0900;42;;;
200107;1000;42;;;
200107;1100;49;;;
200107;1200;36;;;
200107;1300;33;;;
200107;1400;47;;;
200107;1500;44;;;
200107;1600;30;;;
200107;1700;23;;;
200107;1800;17;;;
200107;1900;14;;;
200107;2000;9;;;
200107;2100;13;;;
200107;2200;12;;;
200107;2300;9;;;
200108;0000;11;;;
200108;0100;8;;;
200108;0200;8;;;
200108;0300;5;;;
200108;0400;7;;;
200108;0500;9;;;
200108;0600;11;;;
200108;0700;20;;;
200108;0800;16;;;
200108;0900;8;;;
200108;1000;10;;;
200108;1100;16;;;
200108;1200;20;;;
200108;1300;9;;;
200108;1400;12;;;
200108;1500;19;;;
200108;1600;21;;;
200108;1700;15;;;
200108;1800;13;;;
200108;1900;8;;;
200108;2000;15;;;
200108;2100;13;;;
200108;2200;12;;;
200108;2300;17;;;
200109;0000;10;;;
200109;0100;9;;;
200109;0200;8;;;
200109;0300;9;;;
200109;0400;7;;;
200109;0500;5;;;
200109;0600;17;;;
200109;0700;15;;;
200109;0800;17;;;
200109;0900;20;;;
200109;1000;17;;;
200109;1100;30;;;
200109;1200;21;;;
200109;1300;29;;;
200109;1400;22;;;
200109;1500;21;;;
200109;1600;30;;;
200109;1700;30;;;
200109;1800;21;;;
200109;1900;21;;;
200109;2000;26;;;
200109;2100;21;;;
200109;2200;19;;;
200109;2300;21;;;
200110;0000;14;;;
200110;0100;14;;;
200110;0200;9;;;
200110;0300;14;;;
200110;0400;12;;;
200110;0500;8;;;
200110;0600;15;;;
200110;0700;24;;;
200110;0800;20;;;
200110;0900;22;;;
200110;1000;20;;;
200110;1100;40;;;
200110;1200;22;;;
200110;1300;36;;;
200110;1400;27;;;
200110;1500;20;;;
200110;1600;32;;;
200110;1700;32;;;
200110;1800;21;;;
200110;1900;30;;;
200110;2000;39;;;
200110;2100;36;;;
200110;2200;21;;;
200110;2300;37;;;
200111;0000;30;;;
200111;0100;20;;;
200111;0200;14;;;
200111;0300;16;;;
200111;0400;14;;;
200111;0500;22;;;
200111;0600;21;;;
200111;0700;21;;;
200111;0800;13;;;
200111;0900;15;;;
200111;1000;23;;;
200111;1100;16;;;
200111;1200;22;;;
200111;1300;20;;;
200111;1400;16;;;
200111;1500;21;;;
200111;1600;24;;;
200111;1700;24;;;
200111;1800;21;;;
200111;1900;24;;;
200111;2000;40;;;
200111;2100;26;;;
200111;2200;24;;;
200111;2300;32;;;
200112;0000;19;;;
200112;0100;21;;;
200112;0200;33;;;
200112;0300;32;;;
200112;0400;29;;;
200112;0500;31;;;
200112;0600;25;;;
200112;0700;23;;;
200112;0800;13;;;
200112;0900;15;;;
200112;1000;17;;;
200112;1100;20;;;
200112;1200;22;;;
200112;1300;16;;;
200112;1400;17;;;
200112;1500;16;;;
200112;1600;21;;;
200112;1700;20;;;
200112;1800;13;;;
200112;1900;21;;;
200112;2000;21;;;
200112;2100;11;;;
200112;2200;23;;;
200112;2300;20;;;
200113;0000;14;;;
200113;0100;14;;;
200113;0200;11;;;
200113;0300;25;;;
