FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0100;1,06;;;
200101;0200;1,04;;;
200101;0300;1;;;
200101;0400;1,02;;;
200101;0500;1,02;;;
200101;0600;1,04;;;
200101;0700;1,01;;;
200101;0800;1;;;
200101;0900;1;;;
200101;1000;1;;;
200101;1100;1;;;
200101;1200;1,01;;;
200101;1300;1,09;;;
200101;1400;1,07;;;
200101;1500;1,14;;;
200101;1600;1,19;;;
200101;1700;1,1;;;
200101;1800;1,03;;;
200101;1900;1;;;
200101;2000;1;;;
200101;2100;1,01;;;
200101;2200;1;;;
200101;2300;1;;;
200102;0000;1,01;;;
200102;0100;1;;;
200102;0200;1;;;
200102;0300;1;;;
200102;0400;1;;;
200102;0500;1;;;
200102;0600;1;;;
200102;0700;1;;;
200102;0800;1;;;
200102;0900;1;;;
200102;1000;1;;;
200102;1100;1;;;
200102;1200;1,01;;;
200102;1300;1;;;
200102;1400;1,05;;;
200102;1500;1,23;;;
200102;1600;1,42;;;
200102;1700;1,19;;;
200102;1800;1,08;;;
200102;1900;1,01;;;
200102;2000;1;;;
200102;2100;1,01;;;
200102;2200;1;;;
200102;2300;1;;;
200103;0000;1,01;;;
200103;0100;1,02;;;
200103;0200;1;;;
200103;0300;1;;;
200103;0400;1;;;
200103;0500;1;;;
200103;0600;1;;;
200103;0700;1;;;
200103;0800;1;;;
200103;0900;1;;;
200103;1000;1;;;
200103;1100;1;;;
200103;1200;1;;;
200103;1300;1;;;
200103;1400;1;;;
200103;1500;1,17;;;
200103;1600;1,42;;;
200103;1700;1,27;;;
200103;1800;1,16;;;
200103;1900;1,12;;;
200103;2000;1;;;
200103;2100;1;;;
200103;2200;1;;;
200103;2300;1,02;;;
200104;0000;1;;;
200104;0100;1;;;
200104;0200;1,01;;;
200104;0300;1,01;;;
200104;0400;1,02;;;
200104;0500;1;;;
200104;0600;1;;;
200104;0700;1;;;
200104;0800;1;;;
200104;0900;1;;;
200104;1000;1;;;
200104;1100;1;;;
200104;1200;1;;;
200104;1300;1;;;
200104;1400;1;;;
200104;1500;1;;;
200104;1600;1;;;
200104;1700;1,01;;;
200104;1800;1,2;;;
200104;1900;1,32;;;
200104;2000;1,11;;;
200104;2100;1,07;;;
200104;2200;1,02;;;
200104;2300;1,05;;;
200105;0000;1,04;;;
200105;0100;1,01;;;
200105;0200;1;;;
200105;0300;1,01;;;
200105;0400;1;;;
200105;0500;1;;;
200105;0600;1;;;
200105;0700;1,01;;;
200105;0800;1;;;
200105;0900;1;;;
200105;1000;1;;;
200105;1100;1;;;
200105;1200;1,01;;;
200105;1300;1;;;
200105;1400;1;;;
200105;1500;1,01;;;
200105;1600;1;;;
200105;1700;1,01;;;
200105;1800;1;;;
200105;1900;1,01;;;
200105;2000;1;;;
200105;2100;1,02;;;
200105;2200;1,03;;;
200105;2300;1,01;;;
200106;0000;1;;;
200106;0100;1;;;
200106;0200;1;;;
200106;0300;1;;;
200106;0400;1,01;;;
200106;0500;1,03;;;
200106;0600;1,01;;;
200106;0700;1,09;;;
200106;0800;1,03;;;
200106;0900;1,03;;;
200106;1000;1,02;;;
200106;1100;1,04;;;
200106;1200;1,01;;;
200106;1300;1,01;;;
200106;1400;1,03;;;
200106;1500;1,14;;;
200106;1600;1,12;;;
200106;1700;1,07;;;
