FECHA (YYMMDD);HORA (HHMM);;
200101;0100;20,0008;
200101;0200;18,4558;
200101;0300;17,3242;
200101;0400;16,5075;
200101;0500;15,5192;
200101;0600;16,0083;
200101;0700;17,9617;
200101;0800;20,96;
200101;0900;23,6367;
200101;1000;25,5617;
200101;1100;27,9492;
200101;1200;29,9442;
200101;1300;31,3192;
200101;1400;31,9308;
200101;1500;31,8108;
200101;1600;30,3942;
200101;1700;28,6158;
200101;1800;26,105;
200101;1900;23,0033;
200101;2000;19,7783;
200101;2100;18,0133;
200101;2200;17,1992;
200101;2300;16,43;
200102;0000;15,9083;
200102;0100;15,0425;
200102;0200;14,3483;
200102;0300;13,93;
200102;0400;13,3183;
200102;0500;12,7333;
200102;0600;13,7;
200102;0700;15,7608;
200102;0800;18,1358;
200102;0900;20,7742;
200102;1000;23,1533;
200102;1100;25,8267;
200102;1200;28,26;
200102;1300;30,4725;
200102;1400;31,9458;
200102;1500;33,555;
200102;1600;33,9808;
200102;1700;31,81;
200102;1800;30,1675;
200102;1900;26,7408;
200102;2000;24,2617;
200102;2100;22,9842;
200102;2200;21,7742;
200102;2300;19,8383;
200103;0000;18,4083;
200103;0100;17,2775;
200103;0200;16,0167;
200103;0300;15,12;
200103;0400;14,5908;
200103;0500;14,0542;
200103;0600;14,5825;
200103;0700;16,8167;
200103;0800;19,4817;
200103;0900;22,1667;
200103;1000;24,5333;
200103;1100;26,585;
200103;1200;29,37;
200103;1300;31,1358;
200103;1400;32,5483;
200103;1500;33,5908;
200103;1600;34,125;
200103;1700;34,2217;
200103;1800;33,62;
200103;1900;30,6692;
200103;2000;28,1633;
200103;2100;26,8383;
200103;2200;25,9683;
200103;2300;25,6925;
200104;0000;24,6333;
200104;0100;23,3358;
200104;0200;22,1358;
200104;0300;20,9592;
200104;0400;19,7033;
200104;0500;18,475;
200104;0600;17,9792;
200104;0700;18,9075;
200104;0800;19,6733;
200104;0900;20,8992;
200104;1000;22,7758;
200104;1100;24,4158;
200104;1200;26,5642;
200104;1300;28,3392;
200104;1400;30,1075;
200104;1500;31,5825;
200104;1600;31,9567;
200104;1700;32,3667;
200104;1800;31,8158;
200104;1900;30,0833;
200104;2000;27,5675;
200104;2100;25,2233;
200104;2200;24,1325;
200104;2300;23,3258;
200105;0000;21,8425;
200105;0100;20,1183;
200105;0200;18,3242;
200105;0300;16,5958;
200105;0400;15,5292;
200105;0500;14,745;
200105;0600;14,4825;
200105;0700;15,1408;
200105;0800;15,865;
200105;0900;17,3025;
200105;1000;19,2058;
200105;1100;20,7258;
200105;1200;22,1125;
200105;1300;22,9225;
200105;1400;23,2883;
200105;1500;24,1;
200105;1600;24,225;
200105;1700;24,2158;
200105;1800;23,9317;
200105;1900;23,0092;
200105;2000;20,4575;
200105;2100;18,9508;
200105;2200;17,7167;
200105;2300;16,8317;
200106;0000;16,1317;
200106;0100;15,3317;
200106;0200;14,5817;
200106;0300;13,9233;
200106;0400;13,2267;
200106;0500;12,5108;
200106;0600;12,67;
200106;0700;14,0083;
200106;0800;15,8458;
200106;0900;17,9592;
200106;1000;19,6042;
200106;1100;21,5308;
200106;1200;23,2658;
200106;1300;24,7292;
200106;1400;26,04;
200106;1500;26,5333;
200106;1600;26,5525;
200106;1700;26,4467;
200106;1800;26,1142;
200106;1900;24,6767;
200106;2000;21,6683;
200106;2100;19,8275;
200106;2200;18,7625;
200106;2300;17,6233;
200107;0000;16,5767;
200107;0100;15,5658;
200107;0200;14,9158;
200107;0300;13,94;
200107;0400;13,6108;
200107;0500;13,2633;
200107;0600;14,0042;
200107;0700;16,0225;
200107;0800;17,5583;
200107;0900;18,28;
200107;1000;19,3083;
200107;1100;21,0475;
200107;1200;24,1983;
200107;1300;27,2467;
200107;1400;29,315;
200107;1500;28,6412;
200107;1600;27,4208;
200107;1700;27,0508;
200107;1800;25,5167;
200107;1900;23,125;
200107;2000;20,765;
200107;2100;18,8808;
200107;2200;17,8017;
