FECHA (YYMMDD);HORA (HHMM);;
200101;0100;0,608334;
200101;0200;0,645861;
200101;0300;0,571852;
200101;0400;0,61511;
200101;0500;0,716874;
200101;0600;0,976922;
200101;0700;0,766077;
200101;0800;0,0978624;
200101;0900;0,89828;
200101;1000;2,37755;
200101;1100;2,07177;
200101;1200;2,28991;
200101;1300;2,44148;
200101;1400;2,77371;
200101;1500;3,00359;
200101;1600;3,09951;
200101;1700;2,74637;
200101;1800;2,69675;
200101;1900;2,48663;
200101;2000;2,33137;
200101;2100;1,41702;
200101;2200;1,01343;
200101;2300;0,89943;
200102;0000;0,886804;
200102;0100;0,736762;
200102;0200;0,521071;
200102;0300;0,725654;
200102;0400;1,19148;
200102;0500;0,648424;
200102;0600;1,05076;
200102;0700;1,25509;
200102;0800;1,16326;
200102;0900;0,695868;
200102;1000;0,925793;
200102;1100;1,34302;
200102;1200;1,03826;
200102;1300;0,637469;
200102;1400;1,00669;
200102;1500;0,917601;
200102;1600;2,22138;
200102;1700;3,2021;
200102;1800;2,37955;
200102;1900;2,43591;
200102;2000;2,29509;
200102;2100;1,70786;
200102;2200;0,438365;
200102;2300;0,81042;
200103;0000;0,572388;
200103;0100;0,801197;
200103;0200;0,948115;
200103;0300;0,940589;
200103;0400;0,653958;
200103;0500;0,823342;
200103;0600;0,721733;
200103;0700;0,613297;
200103;0800;0,371712;
200103;0900;0,782109;
200103;1000;1,44682;
200103;1100;1,21075;
200103;1200;1,47046;
200103;1300;1,95899;
200103;1400;1,54842;
200103;1500;1,75212;
200103;1600;2,76526;
200103;1700;3,30958;
200103;1800;2,47553;
200103;1900;2,16867;
200103;2000;1,92757;
200103;2100;1,69844;
200103;2200;1,70021;
200103;2300;2,59713;
200104;0000;2,63212;
200104;0100;2,09138;
200104;0200;2,60926;
200104;0300;2,27834;
200104;0400;1,45939;
200104;0500;1,40341;
200104;0600;1,52873;
200104;0700;2,01891;
200104;0800;2,56446;
200104;0900;3,27345;
200104;1000;2,84137;
200104;1100;2,41901;
200104;1200;2,37569;
200104;1300;1,24057;
200104;1400;1,77593;
200104;1500;2,23667;
200104;1600;2,64278;
200104;1700;3,37216;
200104;1800;3,34379;
200104;1900;2,46569;
200104;2000;1,14117;
200104;2100;1,46041;
200104;2200;1,73631;
200104;2300;1,94169;
200105;0000;2,46796;
200105;0100;3,07231;
200105;0200;2,14051;
200105;0300;1,78054;
200105;0400;1,52569;
200105;0500;1,85562;
200105;0600;2,01503;
200105;0700;2,6921;
200105;0800;2,73389;
200105;0900;2,39951;
200105;1000;1,83709;
200105;1100;2,35053;
200105;1200;1,85134;
200105;1300;3,27563;
200105;1400;2,87617;
200105;1500;2,97906;
200105;1600;2,70323;
200105;1700;3,02183;
200105;1800;2,34071;
200105;1900;2,00118;
200105;2000;1,66748;
200105;2100;1,76608;
200105;2200;1,68231;
200105;2300;1,57128;
200106;0000;1,63446;
200106;0100;1,45131;
200106;0200;2,20075;
200106;0300;1,13491;
200106;0400;0,621286;
200106;0500;0,621712;
200106;0600;0,656244;
200106;0700;0,704598;
200106;0800;1,60356;
200106;0900;1,99876;
200106;1000;2,25648;
200106;1100;1,71732;
200106;1200;1,61648;
200106;1300;1,85002;
200106;1400;1,56915;
200106;1500;1,82449;
200106;1600;2,39866;
200106;1700;2,05684;
200106;1800;1,6821;
200106;1900;2,01409;
200106;2000;1,98232;
200106;2100;1,81222;
200106;2200;1,34043;
200106;2300;0,32581;
200107;0000;0,387212;
200107;0100;0,143556;
200107;0200;0,0999506;
200107;0300;0,230665;
200107;0400;0,538654;
200107;0500;0,205267;
200107;0600;0,355573;
200107;0700;0,749084;
200107;0800;1,22531;
200107;0900;1,61425;
200107;1000;1,33974;
200107;1100;1,4012;
200107;1200;0,150853;
200107;1300;0,931366;
200107;1400;3,436;
200107;1500;4,58444;
200107;1600;3,88705;
200107;1700;3,68236;
200107;1800;3,26006;
200107;1900;2,36048;
200107;2000;1,54914;
200107;2100;2,06426;
200107;2200;1,8749;
200107;2300;1,71146;
200108;0000;1,75348;
200108;0100;1,46519;
200108;0200;1,21586;
200108;0300;0,818097;
200108;0400;1,26342;
200108;0500;0,655639;
200108;0600;0,72525;
200108;0700;1,26741;
200108;0800;1,37147;
200108;0900;1,86771;
200108;1000;1,91205;
200108;1100;1,07702;
200108;1200;2,95918;
200108;1300;2,97669;
200108;1400;2,41548;
200108;1500;2,81627;
200108;1600;2,94507;
200108;1700;2,96564;
200108;1800;2,54222;
200108;1900;2,53357;
200108;2000;2,1416;
200108;2100;1,42784;
200108;2200;1,20224;
200108;2300;0,566163;
200109;0000;0,668083;
200109;0100;0,924346;
200109;0200;0,85532;
200109;0300;0,885241;
200109;0400;0,889878;
200109;0500;0,983492;
200109;0600;1,05459;
200109;0700;1,35284;
200109;0800;2,17009;
200109;0900;2,86106;
200109;1000;2,97121;
200109;1100;2,56637;
200109;1200;2,15901;
200109;1300;1,90831;
200109;1400;2,60124;
200109;1500;;
200109;1600;;
200109;1700;;
200109;1800;3,49005;
200109;1900;2,95474;
200109;2000;2,24765;
200109;2100;2,10338;
200109;2200;2,31613;
200109;2300;1,5128;
200110;0000;2,22556;
200110;0100;1,82107;
200110;0200;1,58036;
200110;0300;0,808864;
200110;0400;0,900447;
200110;0500;0,534326;
200110;0600;1,55051;
200110;0700;1,65057;
200110;0800;2,41618;
200110;0900;2,36766;
200110;1000;1,86478;
200110;1100;2,66089;
200110;1200;3,05904;
200110;1300;3,07255;
200110;1400;2,87986;
200110;1500;2,78727;
200110;1600;3,30751;
200110;1700;3,55503;
200110;1800;3,12947;
200110;1900;2,36491;
